case_id,label,image_file,fault_type,target,fault_bbox_xyxy,width,height
case_001,normal,case_001_normal.png,,,,1708,872
case_001,fault,case_001_fault.png,diode_reverse,D1,"[875, 80, 1030, 205]",1689,840
case_002,normal,case_002_normal.png,,,,1138,493
case_002,fault,case_002_fault.png,schottky_diode_reverse,D1,"[170, 170, 330, 285]",1184,549
case_003,normal,case_003_normal.png,,,,1165,485
case_003,fault,case_003_fault.png,led_reverse,D2,"[815, 215, 965, 370]",1128,546
case_004,normal,case_004_normal.png,,,,1394,811
case_004,fault,case_004_fault.png,zener_diode_reverse,D1,"[785, 55, 925, 155]",1349,791
case_005,normal,case_005_normal.png,,,,1655,697
case_005,fault,case_005_fault.png,diode_reverse,D101,"[900, 270, 1030, 440]",1764,724
case_006,normal,case_006_normal.png,,,,1123,273
case_006,fault,case_006_fault.png,schottky_diode_reverse,D1,"[390, 140, 485, 225]",1193,309
case_007,normal,case_007_normal.png,,,,1563,778
case_007,fault,case_007_fault.png,diode_reverse,D1/D2,"[1130, 440, 1285, 660]",1611,813
case_008,normal,case_008_normal.png,,,,1563,778
case_008,fault,case_008_fault.png,diode_reverse,D3,"[480, 560, 560, 690]",1575,825
case_009,normal,case_009_normal.png,,,,1563,778
case_009,fault,case_009_fault.png,diode_reverse,D1,"[1120, 455, 1245, 555]",1580,836
case_010,normal,case_010_normal.png,,,,1563,778
case_010,fault,case_010_fault.png,diode_reverse,D2,"[1210, 565, 1310, 675]",1594,831
