epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3665,1.77619,0.63309,0.66211,7.31766,1.84578,0.72209,0.07218,0.09239,0.06876,0.47239,0.01125,0.01545,0.00756,1.07787,0.64259,0.61426,3.27634,1.36598,0.000174132,0.000174132,0.000174132
2,41.6436,0.96771,0.54109,0.58003,4.81694,1.28049,0.25893,0.3791,0.19991,0.15479,0.07928,0.06278,0.02232,0.01311,0.79153,0.66063,0.57779,2.57548,1.10403,0.000347736,0.000347736,0.000347736
3,61.7751,0.9604,0.5664,0.5525,4.1192,1.17033,0.23734,0.45161,0.21587,0.18045,0.10063,0.10372,0.04094,0.01724,0.75131,0.56691,0.46373,2.38983,1.04986,0.000519604,0.000519604,0.000519604
4,81.6254,0.81363,0.51612,0.48295,3.52811,1.09249,0.23812,0.48993,0.23804,0.20379,0.23655,0.18142,0.03943,0.01852,0.75165,0.57647,0.54439,2.40307,1.05122,0.000518189,0.000518189,0.000518189
5,101.489,0.77013,0.50336,0.42272,3.20774,1.06783,0.2395,0.54716,0.32832,0.28415,0.05446,0.14081,0.06081,0.03129,0.68414,0.52843,0.30007,1.93088,1.03599,0.000515585,0.000515585,0.000515585
6,121.323,0.74609,0.48924,0.36694,2.88575,1.04757,0.29664,0.50901,0.34859,0.30613,0.05637,0.15457,0.06563,0.03418,0.60904,0.49113,0.25039,1.80239,0.97014,0.000512981,0.000512981,0.000512981
7,141.25,0.67658,0.41526,0.32551,2.62939,0.99165,0.31383,0.61015,0.4036,0.34843,0.05457,0.19981,0.06312,0.04107,0.60374,0.40038,0.232,1.68904,0.96545,0.000510378,0.000510378,0.000510378
8,161.02,0.69927,0.38441,0.30017,2.39953,1.03067,0.31,0.58584,0.39708,0.32177,0.06316,0.15462,0.07252,0.04874,0.65705,0.35514,0.1794,1.77406,1.00842,0.000507774,0.000507774,0.000507774
9,180.592,0.71595,0.33536,0.25181,2.25953,1.04886,0.36555,0.58723,0.44128,0.38717,0.06758,0.20631,0.07784,0.05557,0.58724,0.32484,0.16319,1.58675,0.958,0.00050517,0.00050517,0.00050517
10,200.338,0.69171,0.27703,0.2394,2.17587,1.02033,0.38833,0.5811,0.46429,0.41358,0.06421,0.16612,0.0786,0.06237,0.56796,0.22165,0.17809,1.57505,0.94875,0.000502567,0.000502567,0.000502567
11,220.202,0.64692,0.26943,0.2415,2.05317,0.98828,0.34958,0.63862,0.47598,0.41264,0.06588,0.21588,0.08357,0.06056,0.61256,0.21994,0.13479,1.53229,0.98716,0.000499963,0.000499963,0.000499963
12,240.219,0.69022,0.2504,0.21901,1.98906,1.00666,0.36622,0.59581,0.47242,0.41784,0.05949,0.18657,0.0853,0.06693,0.57601,0.20566,0.1032,1.49901,0.95062,0.000497359,0.000497359,0.000497359
13,260.118,0.63234,0.25384,0.17652,1.86925,0.98475,0.43526,0.68102,0.51963,0.44732,0.06445,0.19782,0.08786,0.06482,0.55245,0.24419,0.07297,1.38423,0.94137,0.000494756,0.000494756,0.000494756
14,279.708,0.61011,0.19975,0.15559,1.81949,0.98359,0.43575,0.62988,0.54521,0.45943,0.07484,0.19386,0.10304,0.08234,0.57249,0.17588,0.06009,1.36498,0.95507,0.000492152,0.000492152,0.000492152
15,299.813,0.59958,0.20901,0.15214,1.75664,0.97462,0.44704,0.66204,0.55019,0.48119,0.07107,0.1801,0.10289,0.08218,0.54453,0.15931,0.06321,1.31348,0.93227,0.000489548,0.000489548,0.000489548
16,319.851,0.60423,0.20315,0.15215,1.66135,0.98463,0.47794,0.65884,0.58875,0.51086,0.07628,0.17077,0.11417,0.09834,0.56165,0.15774,0.0794,1.3339,0.96414,0.000486945,0.000486945,0.000486945
17,339.708,0.57623,0.19053,0.12458,1.63801,0.95486,0.37724,0.73222,0.54633,0.47477,0.09643,0.19276,0.11427,0.09369,0.5612,0.16239,0.03887,1.42109,0.95032,0.000484341,0.000484341,0.000484341
18,359.542,0.63906,0.21286,0.14503,1.69593,0.98274,0.53326,0.62136,0.59476,0.50357,0.08375,0.2447,0.11597,0.09684,0.54938,0.14068,0.04548,1.23846,0.93251,0.000481737,0.000481737,0.000481737
19,379.251,0.58338,0.17258,0.11658,1.52514,0.97372,0.49904,0.69935,0.59329,0.52739,0.09184,0.18779,0.11603,0.09857,0.53267,0.1371,0.05132,1.21076,0.92849,0.000479133,0.000479133,0.000479133
20,399.12,0.53966,0.18344,0.10782,1.42962,0.94839,0.4808,0.68699,0.64105,0.5663,0.19364,0.12786,0.16093,0.13326,0.51861,0.12547,0.0369,1.12701,0.92616,0.00047653,0.00047653,0.00047653
21,419.139,0.58971,0.14889,0.11789,1.36778,0.97676,0.5232,0.67136,0.63441,0.56537,0.10227,0.22235,0.13415,0.11591,0.50576,0.12776,0.03362,1.09051,0.92313,0.000473926,0.000473926,0.000473926
22,439.121,0.57775,0.14452,0.10413,1.3309,0.96025,0.53529,0.77881,0.6667,0.59547,0.13612,0.20328,0.18042,0.15336,0.50343,0.10357,0.03046,1.08245,0.93018,0.000471322,0.000471322,0.000471322
23,459.043,0.52988,0.13074,0.08564,1.23415,0.94523,0.65779,0.71532,0.7074,0.6306,0.11976,0.22008,0.15939,0.14606,0.50079,0.09501,0.02648,0.94967,0.93298,0.000468719,0.000468719,0.000468719
24,479.056,0.51833,0.12766,0.10648,1.23983,0.93729,0.57876,0.74801,0.71037,0.64299,0.1286,0.17848,0.16083,0.14528,0.51863,0.10867,0.02366,0.92571,0.94183,0.000466115,0.000466115,0.000466115
25,499.122,0.5524,0.12824,0.10769,1.20278,0.96221,0.57469,0.75499,0.69689,0.61633,0.1176,0.18284,0.15795,0.13643,0.5293,0.09576,0.03181,0.96076,0.93604,0.000463511,0.000463511,0.000463511
26,518.952,0.53781,0.12186,0.1111,1.21813,0.93823,0.62178,0.77445,0.70324,0.61536,0.13521,0.23993,0.16121,0.14039,0.48558,0.10458,0.02557,0.93153,0.9247,0.000460907,0.000460907,0.000460907
27,538.586,0.55484,0.14315,0.09223,1.1985,0.95607,0.58881,0.74015,0.71703,0.65557,0.1209,0.19706,0.17296,0.15619,0.49674,0.0973,0.03232,0.85995,0.91895,0.000458304,0.000458304,0.000458304
28,558.495,0.55586,0.11751,0.10602,1.17066,0.94339,0.59558,0.77653,0.72967,0.66413,0.13691,0.20394,0.16847,0.14163,0.47839,0.09859,0.03553,0.87797,0.91115,0.0004557,0.0004557,0.0004557
29,578.412,0.51953,0.11481,0.11838,1.1378,0.9264,0.63841,0.75348,0.7092,0.63888,0.15581,0.2274,0.17792,0.15784,0.50107,0.09613,0.02399,0.89873,0.92897,0.000453096,0.000453096,0.000453096
30,598.326,0.47528,0.10592,0.08872,0.97308,0.9277,0.65401,0.79657,0.75023,0.65568,0.15054,0.18425,0.18293,0.16488,0.48549,0.08921,0.02453,0.79925,0.91413,0.000450493,0.000450493,0.000450493
31,618.172,0.50559,0.10028,0.0777,0.9386,0.9062,0.68753,0.76792,0.7525,0.68249,0.16267,0.20105,0.18913,0.16706,0.4896,0.07851,0.02293,0.73316,0.91526,0.000447889,0.000447889,0.000447889
