epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3241,1.98349,1.50236,0.71912,4.70143,1.64639,0.39009,0.11701,0.15045,0.08353,0.36101,0.07143,0.11636,0.04805,1.98519,1.27594,0.68493,4.65878,1.62766,0.00021816,0.00021816,0.00021816
2,45.6434,1.49595,1.1811,0.69236,3.60901,1.34143,0.28296,0.43636,0.38585,0.28108,0.12636,0.32319,0.20493,0.07618,1.12107,1.24944,0.66528,2.85351,1.08916,0.000441735,0.000441735,0.000441735
3,68.223,1.14102,1.16304,0.62424,2.87963,1.14138,0.3965,0.64095,0.39805,0.31474,0.27412,0.37489,0.19009,0.06876,0.94228,1.16446,0.58565,3.26607,1.00753,0.000661561,0.000661561,0.000661561
4,90.9729,1.15131,1.10364,0.6033,2.81087,1.13451,0.57085,0.57244,0.52836,0.43033,0.23935,0.375,0.16264,0.05986,0.7251,1.15547,0.53817,2.49878,0.9323,0.000877637,0.000877637,0.000877637
5,114.203,1.06297,1.06902,0.57374,2.41892,1.09226,0.31688,0.70254,0.501,0.40693,0.13566,0.41178,0.20528,0.08669,0.84875,1.08472,0.50447,2.7778,0.99801,0.000879003,0.000879003,0.000879003
6,138.364,1.03625,1.13647,0.58612,2.48192,1.09067,0.37642,0.75201,0.49373,0.39742,0.12965,0.42376,0.15841,0.06623,0.78495,1.00206,0.45711,2.53778,0.97891,0.000871504,0.000871504,0.000871504
7,162.262,0.99457,0.92317,0.53241,2.23236,1.06798,0.42238,0.89505,0.54522,0.40652,0.16149,0.51476,0.20377,0.09456,0.92349,0.8969,0.42102,2.22725,1.07911,0.000864004,0.000864004,0.000864004
8,184.868,1.0444,0.96576,0.52318,2.17806,1.0941,0.3919,0.72912,0.56218,0.46546,0.12213,0.33146,0.16097,0.11465,0.70324,0.87844,0.40244,2.05235,0.94916,0.000856505,0.000856505,0.000856505
9,209.044,1.01949,0.65574,0.49954,2.0642,1.0834,0.37056,0.73214,0.57366,0.47503,0.1479,0.49238,0.22801,0.15473,0.68342,0.64108,0.38671,2.05826,0.92652,0.000849006,0.000849006,0.000849006
10,231.837,0.93531,0.61693,0.49401,1.92184,1.02488,0.39041,0.93052,0.53963,0.43116,0.12687,0.51786,0.22671,0.16355,0.7883,0.55493,0.38034,1.95984,0.95299,0.000841507,0.000841507,0.000841507
11,255.716,0.92023,0.48199,0.46787,1.88933,1.01527,0.39389,0.87542,0.52102,0.41851,0.10894,0.375,0.14409,0.08152,0.7737,0.7285,0.37857,1.80316,0.95069,0.000834007,0.000834007,0.000834007
12,279.266,0.92435,0.41953,0.46323,1.82279,1.00506,0.42001,0.85851,0.5687,0.49613,0.15773,0.44643,0.18838,0.16915,0.61341,0.23529,0.35046,1.64134,0.90569,0.000826508,0.000826508,0.000826508
13,302.196,0.91479,0.4511,0.43882,1.79952,0.98201,0.37845,0.875,0.57904,0.48948,0.13292,0.55357,0.17407,0.12712,0.64125,0.53761,0.25453,1.62067,0.9057,0.000819009,0.000819009,0.000819009
14,326.687,0.91223,0.32808,0.42189,1.72871,1.00378,0.42742,0.85714,0.60307,0.51398,0.14551,0.44643,0.20088,0.17851,0.63394,0.25111,0.23277,1.43129,0.89812,0.00081151,0.00081151,0.00081151
15,349.013,0.92654,0.34699,0.39881,1.68355,1.00877,0.45139,0.89499,0.59639,0.5173,0.15496,0.5,0.20535,0.18157,0.60671,0.20883,0.19932,1.42498,0.8946,0.00080401,0.00080401,0.00080401
16,373.194,0.88444,0.33571,0.36576,1.58953,1.01234,0.4282,0.875,0.59751,0.51015,0.15753,0.44643,0.22052,0.21186,0.61077,0.14653,0.18449,1.38966,0.89251,0.000796511,0.000796511,0.000796511
17,396.459,0.88491,0.29349,0.32984,1.51072,1.00206,0.4439,0.84025,0.66925,0.57164,0.13883,0.5,0.26765,0.25829,0.60434,0.12703,0.16232,1.38742,0.90531,0.000789012,0.000789012,0.000789012
18,421.01,0.76421,0.25922,0.3162,1.4718,0.94815,0.39442,0.95123,0.61282,0.51775,0.14014,0.53571,0.21518,0.21184,0.60472,0.09404,0.15181,1.32249,0.88146,0.000781513,0.000781513,0.000781513
19,444.075,0.83249,0.26522,0.29546,1.54507,0.97579,0.42651,0.92857,0.62526,0.52446,0.15842,0.57143,0.2179,0.21296,0.65479,0.09133,0.11763,1.31768,0.91492,0.000774013,0.000774013,0.000774013
20,467.96,0.8163,0.26202,0.26649,1.45293,0.98314,0.43898,0.8006,0.64138,0.55564,0.14456,0.53571,0.22584,0.21976,0.58045,0.09549,0.1265,1.30989,0.88587,0.000766514,0.000766514,0.000766514
21,491.288,0.79531,0.1904,0.29432,1.43427,0.99127,0.43733,0.89052,0.65211,0.55762,0.14376,0.51786,0.24071,0.235,0.55257,0.08708,0.09714,1.22605,0.87144,0.000759015,0.000759015,0.000759015
22,514.531,0.83274,0.2336,0.26748,1.41875,0.99459,0.50757,0.81395,0.649,0.54426,0.15253,0.36796,0.226,0.22504,0.59122,0.07791,0.09182,1.27789,0.88231,0.000751516,0.000751516,0.000751516
23,539.083,0.81692,0.22056,0.25496,1.35608,0.97877,0.5463,0.64006,0.65217,0.54927,0.14741,0.51041,0.22574,0.22489,0.58409,0.07624,0.08435,1.17351,0.87773,0.000744016,0.000744016,0.000744016
24,561.74,0.72874,0.20442,0.2443,1.29637,0.9337,0.55394,0.76786,0.672,0.57593,0.20795,0.3398,0.25257,0.25069,0.61281,0.06308,0.08031,1.15907,0.87412,0.000736517,0.000736517,0.000736517
25,584.818,0.78093,0.20383,0.29688,1.32746,0.95824,0.54437,0.79172,0.6773,0.58842,0.22894,0.44466,0.26928,0.26692,0.55515,0.06866,0.07627,1.11919,0.87166,0.000729018,0.000729018,0.000729018
26,607.657,0.79686,0.20313,0.21951,1.26692,0.97555,0.4946,0.875,0.70347,0.60116,0.18073,0.47171,0.28047,0.27856,0.57484,0.06842,0.07026,1.05879,0.87496,0.000721519,0.000721519,0.000721519
27,631.106,0.71951,0.20488,0.26316,1.2358,0.94465,0.47431,0.86946,0.69718,0.58726,0.17726,0.45963,0.27075,0.2689,0.57991,0.07372,0.05045,1.1263,0.8751,0.000714019,0.000714019,0.000714019
28,653.481,0.74971,0.1608,0.22194,1.17708,0.97736,0.59957,0.78571,0.69101,0.61264,0.24357,0.39013,0.27262,0.27262,0.52826,0.05733,0.05313,1.05769,0.85744,0.00070652,0.00070652,0.00070652
29,676.599,0.73187,0.18626,0.23415,1.18037,0.95221,0.6876,0.625,0.71186,0.63036,0.19607,0.44643,0.28734,0.28689,0.57561,0.07587,0.05217,1.10158,0.86158,0.000699021,0.000699021,0.000699021
30,699.645,0.75054,0.17032,0.22168,1.18126,0.94878,0.60053,0.78571,0.69033,0.60318,0.21774,0.46847,0.2639,0.26059,0.55982,0.07354,0.05337,1.07272,0.86962,0.000691522,0.000691522,0.000691522
